num,query_name,cand_name,AMT_avg_score
1,S029C001P051R001A102,S022C001P066R002A095,1.1
2,S004C002P020R002A007,S011C003P038R001A022,1.4
3,S007C001P015R002A027,S024C001P064R001A099,1.222222222
4,S027C001P080R002A096,S005C002P016R002A022,1
5,S008C002P036R002A022,S005C001P016R002A022,3.7
6,S027C003P086R001A104,S025C001P066R002A104,2.6
7,S023C001P068R002A101,S012C002P027R002A008,1.5
8,S006C001P001R001A008,S001C001P008R001A048,1
9,S013C003P019R001A048,S008C001P007R001A039,1.2
10,S008C002P033R002A007,S014C002P019R002A007,3.5
11,S030C001P095R002A097,S020C003P052R001A104,1.454545455
12,S020C001P053R001A099,S023C001P059R001A099,3.6
13,S032C001P102R002A098,S024C001P060R002A096,2.222222222
14,S032C003P106R001A096,S025C003P068R001A096,3.666666667
15,S010C002P008R002A040,S017C001P003R002A007,1
16,S028C001P073R002A101,S008C001P001R002A035,1.444444444
17,S028C001P087R001A095,S026C001P076R001A095,3.909090909
18,S002C001P011R001A008,S002C001P014R002A008,3.7
19,S008C003P033R001A039,S002C002P014R002A048,1.2
20,S001C001P003R002A040,S004C001P020R002A039,1.3
21,S023C002P061R002A104,S010C001P013R002A040,1.1
22,S027C003P083R001A101,S007C003P016R001A035,1.555555556
23,S010C001P021R002A008,S005C001P010R002A008,3.666666667
24,S026C001P071R001A104,S019C001P050R002A104,1.333333333
25,S029C002P080R002A080,S007C001P028R001A008,1.333333333
26,S027C001P085R002A102,S021C002P055R002A095,1
27,S002C001P013R001A023,S023C001P058R002A104,1
28,S028C001P046R001A104,S023C002P064R002A080,1
29,S006C002P008R002A026,S032C003P106R001A099,1.090909091
30,S028C003P043R001A096,S031C003P100R001A096,3.6
31,S008C001P015R002A007,S017C002P009R002A007,3.8
32,S023C001P061R002A095,S006C003P023R001A040,1.2
33,S026C001P071R001A104,S008C001P031R002A040,1.1
34,S008C002P029R002A027,S003C003P018R001A027,3
35,S030C003P011R001A100,S031C002P097R002A100,3.777777778
36,S028C002P087R002A100,S007C001P016R001A026,2
37,S018C003P008R001A095,S011C001P018R002A022,2.2
38,S031C001P097R002A095,S011C003P002R001A022,2.8
39,S026C001P071R001A098,S031C003P100R001A097,1.5
40,S019C003P051R001A096,S012C002P037R002A039,1.2
41,S027C003P085R001A101,S002C002P014R002A008,1.1
42,S023C003P059R001A099,S019C002P008R002A100,1.888888889
43,S031C003P100R001A097,S008C003P030R001A035,1
44,S026C003P071R001A100,S032C001P106R002A100,3.5
45,S002C003P007R001A022,S008C001P036R002A007,1.1
46,S008C001P033R002A048,S004C001P003R001A048,2.125
47,S031C003P099R001A080,S002C001P012R001A048,1.1
48,S006C001P017R001A026,S003C001P015R002A009,1
49,S024C002P060R002A096,S031C003P100R001A096,3
50,S027C003P083R001A099,S020C003P052R001A100,1.555555556
51,S026C002P071R002A097,S020C001P052R001A098,1.666666667
52,S001C002P006R002A026,S017C002P003R002A026,3.181818182
53,S008C003P036R001A040,S008C001P031R002A040,3.8
54,S008C002P036R002A027,S027C001P084R002A099,1.5
55,S014C001P037R001A007,S011C002P015R002A022,1.1
56,S032C002P105R002A097,S028C001P087R001A097,3.818181818
57,S016C001P040R002A007,S002C001P012R002A007,3.555555556
58,S006C002P022R002A022,S005C001P021R001A007,1
59,S027C001P083R001A099,S019C001P050R002A100,1.545454545
60,S001C003P004R001A007,S017C001P009R002A007,2.2
61,S030C001P095R001A095,S020C002P052R002A095,3.5
62,S008C002P032R002A048,S002C001P013R002A035,3.444444444
63,S025C003P056R001A080,S019C002P049R002A080,2.545454545
64,S002C002P012R002A007,S014C001P019R002A007,3.5
65,S003C001P019R001A022,S005C002P010R002A022,3
66,S008C001P025R002A035,S008C001P033R001A035,3.7
67,S027C001P084R002A095,S010C001P021R002A022,2
68,S013C001P018R002A048,S013C001P019R001A048,3.6
69,S011C003P016R001A007,S016C001P008R002A022,1.3
70,S028C001P073R001A080,S030C001P076R001A080,3.2
71,S027C002P011R002A097,S032C002P104R002A097,3.5
72,S026C001P075R002A104,S032C001P008R001A097,2.333333333
73,S001C001P006R001A035,S011C002P038R002A035,3.4
74,S006C003P023R001A026,S007C003P016R001A026,3.9
75,S023C002P061R002A104,S006C001P024R001A040,1.2
76,S019C002P050R002A104,S031C003P097R001A104,1.5
77,S011C001P002R001A022,S004C001P020R002A022,3.909090909
78,S021C001P055R002A095,S031C001P100R002A104,1.1
79,S023C002P056R002A098,S031C001P100R001A097,1.666666667
80,S002C003P014R001A039,S008C002P033R002A048,1
81,S008C001P029R001A040,S027C001P085R002A096,1.9
82,S015C001P019R002A023,S008C001P029R002A007,1
83,S008C003P035R001A008,S008C002P029R002A008,3.6
84,S027C002P080R002A102,S008C002P031R002A026,1.2
85,S014C001P039R001A007,S007C003P016R001A023,1.5
86,S014C003P025R001A007,S011C003P016R001A007,3.5
87,S030C001P095R001A102,S025C001P056R001A102,4
88,S031C001P097R001A101,S031C001P100R001A101,3.3
89,S008C001P032R002A008,S008C002P029R002A008,3.454545455
90,S008C002P033R002A009,S003C002P015R002A009,3.7
91,S011C001P018R002A022,S001C001P004R002A022,2.6
92,S006C003P022R001A035,S008C001P034R001A048,1.3
93,S007C002P018R002A026,S014C001P037R001A009,1
94,S027C003P083R001A101,S028C003P087R001A101,3.222222222
95,S028C001P073R002A104,S032C002P104R002A097,1.5
96,S026C001P050R002A080,S021C002P060R002A080,2.9
97,S004C002P020R002A039,S008C002P032R002A039,3.6
98,S027C001P083R001A099,S027C002P086R002A099,3.636363636
99,S030C001P092R002A080,S009C001P017R002A008,1.3
100,S006C002P023R002A008,S006C001P024R001A008,4
101,S007C003P018R001A039,S010C001P008R002A040,1.6
102,S032C002P102R002A102,S007C002P018R002A026,1.222222222
